Table 1.
        Mean aggregate potential enzyme activity (±1 SE) measured within aggregate fractions isolated by three methods: wet-sieving<comma> dry-sieving<comma> and optimal moisture-sieving. Values are averaged across ecosystem type. Enzymes measured were the N-cycling enzyme N-acetyl-glucosaminidase (NAG) and C-cycling enzymes β-glucosidase (BG)<comma> β-xylosidase (BX)<comma> and cellobiohydrolase (CB). Different letters denote statistically different means among fractions within a sieving method (α = 0.05).
Aggregate method,Aggregate fraction,Potential extracellular enzyme activity (nmol h−1 g−1 dry aggregate)
NAG,BG,CB,BX
Wet-sieving,>2000 μm,118A ± 29,443A ± 106,167A ± 45,76A ± 23
1000–2000 μm,117AB ± 37,366A ± 76,134A ± 31,102A ± 52
250–1000 μm,43B ± 6,234A ± 37,84A ± 18,23B ± 4
<250 μm,34B ± 6,208A ± 50,51AB ± 12,23B ± 6
Whole soil,31B ± 5,153B ± 30,34B ± 6,21B ± 5
Dry-sieving,>2000 μm,35 ± 6,169 ± 22,43 ± 5,17 ± 2
1000–2000 μm,21 ± 6,156 ± 23,45 ± 7,20 ± 3
250–1000 μm,28 ± 6,153 ± 25,39 ± 6,17 ± 1
<250 μm,26 ± 7,129 ± 25,35 ± 6,19 ± 4
Whole soil,31 ± 5,153 ± 30,34 ± 6,21 ± 5
Optimal moisture sieving,>2000 μm,16 ± 3,98 ± 12,29 ± 4,17 ± 6
1000–2000 μm,23 ± 3,132 ± 21,41 ± 4,18 ± 2
250–1000 μm,26 ± 4,147 ± 31,47 ± 9,25 ± 7
<250 μm,17 ± 5,131 ± 37,46 ± 15,20 ± 7
Whole soil,24 ± 4,165 ± 31,39 ± 6,17 ± 3
